English,True_Manipuri_Bengali,True_Manipuri_Meetei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kannur also has the impressive Portuguese citadel Fort St. Angelo, its bulk silhouetted against the Arabian Sea.",কান্নুর অসিসু পুক্নিং হুরবা পোর্টুগীজগী সহর অকোয়বদা খাগৎপা লানবন সেন্ট এঞ্জেলো লৈ অমসুং মসিগী অচৌবা মুর্তি অসি অরাবিয়ান সি মায়োক্ননা লৈ।,"ꯀꯟꯅꯨꯔ ꯑꯁꯤ ꯄꯣꯔꯇꯨꯒꯤꯖ ꯁꯍꯔ ꯑꯃꯅꯤ, ꯑꯃꯁꯨꯡ ꯁꯦꯟꯇ ꯑꯦꯟꯖꯦꯂꯣ ꯁꯍꯔ ꯑꯁꯤ ꯑꯄꯤꯀꯄꯥ ꯁꯤꯡꯂꯨꯞ ꯑꯃꯅꯤ, ꯑꯃꯁꯨꯡ ꯃꯨꯔꯇꯤꯁꯤꯡ ꯑꯁꯤ ꯑꯔꯕ ꯑꯃꯁꯨꯡ ꯃꯥꯌꯥꯒꯤꯅꯤ꯫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort St. Angelo was made by the first Portuguese victory of the area in 1505 and has some cashew trees, initially said to be planted by the Portugues.",সেন্ট এঞ্জেলোগী লানবল অসি ইং ১৫০৫ দা মফম অসিদা ইহান হান্না পানলম্বা পোর্টুগীজনা শারম্মী অমসুং পোর্টুগীজনা অহৌবদগী থারম্মী হায়বা কাজু পাম্বী খরা হৌই।,ꯁꯦꯟꯇ ꯑꯦꯟꯖꯦꯂꯣꯒꯤ ꯂꯅꯕꯜ ꯑꯎꯁꯤ ꯏꯪ ꯱꯵꯰꯵ ꯗꯥ ꯃꯣꯐꯝ ꯑꯎꯁꯤꯗꯥ ꯏꯍꯥꯟ ꯍꯥꯟꯅꯥ ꯄꯥꯅꯥꯂꯝꯕꯥ ꯄꯣꯔꯇꯨꯒꯤꯖ ꯁꯔꯃꯤ ꯑꯃꯁꯨꯡ ꯄꯣꯔꯇꯨꯒꯤꯖ ꯑꯍꯣꯕꯥꯗꯒꯤ ꯊꯦꯔꯥꯃꯤ ꯍꯥꯌꯕꯥ ꯀꯥꯖꯨ ꯄꯥꯝꯕꯤ ꯈꯥꯔꯥ ꯍꯧꯏ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassery was the first British settlement on the Malabar Coast.,থালাশেরী অসি মালাবারগী সমুদ্রা খোংবান্দা ব্রিটিশনা ইহান হান্না খুন্দাবা মফমনি।,"ꯊꯂꯥꯁꯦꯔꯤ, ꯑꯣꯁꯤ, ꯃꯥꯂꯥꯕꯥꯔ, ꯁꯃꯨꯗ꯭ꯔꯥ, ꯈꯣꯡꯕꯟꯗꯥ, ꯕ꯭ꯔꯤꯇꯤꯁ, ꯏꯍꯥꯟ, ꯍꯥꯟꯅꯥ, ꯈꯨꯟꯗꯥꯕꯥ, ꯃꯣꯐꯃꯅꯤ꯫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standing testimony is the 17th contury sea-side Thellicherry Fort built by the British, its ramparts still massive and seemingly impermeable.",ষ্টেন্দিং টেষ্টিমোনি হায়ববু ব্রিটিশনা শারম্বা ১৭ শুবা চহিচাগী সমুদ্রা মপানগী থেল্লীচেরী ফোর্ট অসিনি অমসিং মসিগী অপুনবা অচৌবা লৈপনগী লালবলশিং অসি হৌজিকফাওবা ফাওদোক্তুনা চৎপা ঙম্মোই।,ꯁ꯭ꯇꯦꯟꯗꯤꯡ ꯇꯦꯁ꯭ꯇꯤꯃꯣꯅꯤ ꯍꯥꯌꯕꯨ ꯕ꯭ꯔꯤꯇꯤꯁ ꯁꯝꯚꯥꯂꯥ ꯱꯷ ꯁꯨꯕꯥ ꯆꯥꯍꯤꯆꯥꯒꯤ ꯁꯃꯨꯗ꯭ꯔ ꯃꯄꯥꯉ꯭ꯒꯤ ꯊꯦꯜꯂꯤꯆꯦꯔꯤ ꯐꯣꯔꯠ ꯑꯁꯤꯅꯤ ꯑꯃꯁꯤꯡ ꯃꯥꯁꯤꯒꯤ ꯑꯄꯨꯅꯕꯥ ꯑꯆꯧꯕꯥ ꯂꯥꯏꯄꯉ꯭ꯒꯥꯏ ꯂꯥꯂꯕꯂꯁꯤꯡ ꯑꯁꯤ ꯍꯧꯖꯤꯀꯐꯥꯑꯣꯕꯥ ꯐꯥꯑꯣꯗꯣꯀꯇꯨꯅꯥ ꯆꯇꯄꯥ ꯅ꯭ꯃꯃꯣꯏ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Check out the unusual 500 year old Odathil Palli Mosque built on the plan of a typical Kerala Hindu temple; surprisingly for a mosque, it has no minarets of domes.",তোপতোপ্পা কেরালাগী হিন্দু লাইশঙ অমা ওইনবা থৌরাংদুনা শাখিবা শীংথানিঙাই ওইবা চহি ৫০০ শুরবা ওদাথীল পাল্লী মোস্ক য়েংউ অমসুং অঙকপা মোস্ক অমা ওইনা মসিগী য়ুমথক্কী চোঙাবোনশিংগী চুড়া য়াওদে।,"ꯀꯦꯔꯂꯥꯒꯤ ꯍꯤꯟꯗꯨ ꯀꯝꯝꯌꯨꯅꯤꯇꯤꯅꯥ ꯃꯁꯤꯒꯤ ꯆꯍꯤ ꯵꯰꯰ ꯁꯨꯔꯕꯥ ꯂꯥꯏꯁꯉ, ꯑꯣꯗꯥꯊꯤꯜ ꯄꯥꯜꯂꯤ ꯃꯁꯖꯤꯗ ꯑꯃꯁꯨꯡ ꯂꯃꯗꯝ ꯑꯁꯤꯒꯤ ꯃꯊꯛꯇꯥ ꯂꯩꯕꯥ ꯑꯉ꯭ꯒꯀꯥꯄꯥ ꯃꯁꯖꯤꯗ ꯑꯁꯤꯒꯤꯗꯃꯛ ꯌꯥꯝꯅꯥ ꯆꯥꯎꯊꯣꯀꯆꯩ꯫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Five km away at Kadiroor is Suryanarayan Temple, its initial structure dating back to the 13th century.",১৩শুবা চহিচাদা শাখিবা সুর্য়ানারায়ন লাইশঙ অসি কিঃ মিঃ মঙা লাপ্না কাদিরুরদা লৈ।,꯱꯳ ꯁꯨꯕꯥ ꯆꯥꯍꯤꯆꯥꯗꯥ ꯁꯥꯈꯤꯕꯥ ꯁꯨꯔꯌꯅꯥꯔꯥꯌꯟ ꯂꯥꯏꯁꯥꯡ ꯑꯁꯤ ꯀꯤ: ꯁ꯭ꯔꯤ ꯃꯥꯉ꯭ꯒꯥ ꯂꯄꯅꯥ ꯀꯥꯗꯤꯔꯨꯔꯗꯥ ꯂꯣꯏ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Take time for a diversion to Mahe, once a tiny French outpost.",মতম অমদা অপিকপা ফ্রান্সগী আওটপোষ্ট ওইবা মাহে দা হরাও-কুহ্মৈ ঙাইহাক য়াও।,ꯐ꯭ꯔꯥꯟꯁꯀꯤ ꯑꯥꯎꯠꯄꯣꯁ꯭ꯠ ꯑꯁꯤ ꯆꯠꯅꯕꯥ ꯌꯥꯕꯥ ꯑꯆꯧꯕꯥ ꯃꯐꯝ ꯑꯃꯅꯤ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
